CaseID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Inventory
1,Create Identity,Kim Passa,2010/12/31 15:00:00.000,2010/12/31 15:37:00.000,Variant 2,OrderEntry
1,Create Identity,Kim Passa,2010/12/31 20:37:00.000,2010/12/31 20:45:00.000,Variant 2,OrderEntry
1,Maintain product integrity,Karel de Groot,2010/12/31 21:41:00.000,2010/12/31 21:55:00.000,Variant 2,ProductionFlows
1,Maintain product integrity,Karel de Groot,2011/01/01 02:43:00.000,2011/01/01 03:09:00.000,Variant 2,ProductionFlows
1,Maintain product integrity,Magdalena Predutta,2011/01/01 03:32:00.000,2011/01/01 07:03:00.000,Variant 2,ProductionFlows
1,Create Identity,Immanuel Karagianni,2011/01/01 13:44:00.000,2011/01/01 14:13:00.000,Variant 2,OrderEntry
1,Create Identity,Tesca Lobes,2011/01/01 14:13:00.000,2011/01/01 14:13:00.000,Variant 2,OrderEntry
1,Maintain product integrity,Francois de Perrier,2011/01/01 16:22:00.000,2011/01/02 00:20:00.000,Variant 2,ProductionFlows
1,Maintain product integrity,Karel de Groot,2011/01/02 00:58:00.000,2011/01/02 01:10:00.000,Variant 2,ProductionFlows
1,Product maintenance,Sean Manney,2011/01/02 05:09:00.000,2011/01/02 05:43:00.000,Variant 2,Warehouse
1,Product maintenance,Sean Manney,2011/01/02 11:49:00.000,2011/01/02 18:37:00.000,Variant 2,Warehouse
1,Create Identity,Elvira Lores,2011/01/03 02:20:00.000,2011/01/03 02:21:00.000,Variant 2,OrderEntry
1,Maintain product integrity,Karel de Groot,2011/01/03 10:09:00.000,2011/01/03 10:10:00.000,Variant 2,ProductionFlows
1,Product maintenance,Kiu Kan,2011/01/03 15:54:00.000,2011/01/03 15:54:00.000,Variant 2,Warehouse
1,Verifying integrity,Karalda Nimwada,2011/01/04 06:08:00.000,2011/01/04 06:13:00.000,Variant 2,ComplianceCheck
